Prime,3,446,212,39,7991,3832,0.183962,37.693396,98.256410
panda,0,1000,0,416,16425,12398,0.416000,16.425000,29.802885
panda,1,674,402,185,20995,19598,0.460199,52.226368,105.935135
panda,2,545,205,64,7753,6681,0.312195,37.819512,104.390625
panda,3,446,96,31,2690,2042,0.322917,28.020833,65.870968
VictoriousSecret,0,1000,0,328,5818,3433,0.328000,5.818000,10.466463
VictoriousSecret,1,577,340,159,10421,6456,0.467647,30.650000,40.603774
VictoriousSecret,2,279,127,15,3706,525,0.118110,29.181102,35.000000
VictoriousSecret,3,190,83,14,4043,973,0.168675,48.710843,69.500000
panda,0,1000,0,426,5702,3663,0.426000,5.702000,8.598592
panda,1,577,444,267,19929,19604,0.601351,44.885135,73.423221
panda,2,279,159,96,9726,9569,0.603774,61.169811,99.677083
panda,3,190,58,27,2952,2816,0.465517,50.896552,104.296296
panda,0,1000,0,670,10991,9678,0.670000,10.991000,14.444776
panda,1,471,383,221,14587,14518,0.577023,38.086162,65.692308
panda,2,168,103,67,4600,4600,0.650485,44.660194,68.656716
panda,3,74,29,12,1726,1606,0.413793,59.517241,133.833333
SuperDuper,0,1000,0,158,3247,1692,0.158000,3.247000,10.708861
SuperDuper,1,471,188,158,2865,1951,0.840426,15.239362,12.348101
SuperDuper,2,168,65,46,2107,1486,0.707692,32.415385,32.304348
SuperDuper,3,74,32,18,1517,1231,0.562500,47.406250,68.388889
panda,0,1000,0,385,9614,7544,0.385000,9.614000,19.594805
panda,1,430,254,204,17752,17429,0.803150,69.889764,85.436275
panda,2,224,88,41,5232,5115,0.465909,59.454545,124.756098
panda,3,155,34,8,989,922,0.235294,29.088235,115.250000
teamUROP,0,1000,0,598,8008,5774,0.598000,8.008000,9.655518
teamUROP,1,430,258,242,8745,5774,0.937984,33.895349,23.859504
teamUROP,2,224,111,99,1895,1387,0.891892,17.072072,14.010101
teamUROP,3,155,72,69,1389,1015,0.958333,19.291667,14.710145
Chezebot,0,1000,0,382,5235,3330,0.382000,5.235000,8.717277
Chezebot,1,664,462,197,5720,4270,0.426407,12.380952,21.675127
Chezebot,2,402,244,95,3223,2384,0.389344,13.209016,25.094737
Chezebot,3,257,141,53,2997,1925,0.375887,21.255319,36.320755
Chronokeeper,0,1000,0,383,5508,2697,0.383000,5.508000,7.041775
Chronokeeper,1,664,516,212,5836,3785,0.410853,11.310078,17.853774
